item,category,degree,degree_centrality,closeness_centrality,betweenness_centrality
cooked daal at average hotel,SPI Items,34,0.607143,0.634398,0.055967
tea prepared ordinary,SPI Items,29,0.517857,0.583237,0.01764
rice basmati broken (average qualit,SPI Items,29,0.517857,0.57398,0.02231
milk fresh (un-boiled),SPI Items,28,0.5,0.556319,0.01335
shirting (average quality),SPI Items,28,0.5,0.565011,0.02842
beef with bone (average quality),SPI Items,27,0.482143,0.556319,0.013229
gur (average quality),SPI Items,26,0.464286,0.54789,0.014472
sufi washing soap 250 gm cake,SPI Items,26,0.464286,0.54789,0.021923
pulse mash (washed),SPI Items,26,0.464286,0.556319,0.015622
toilet soap lifebuoy 115 gm,SPI Items,23,0.410714,0.495352,0.006927
tea lipton yellow label 190 gm pack,SPI Items,23,0.410714,0.502232,0.013728
curd (dahi) loose,SPI Items,23,0.410714,0.516582,0.007769
cooked beef at average hotel,SPI Items,22,0.392857,0.495352,0.0075
bread plain (small size),SPI Items,22,0.392857,0.509306,0.006591
lawn printed gul ahmed/al karam,SPI Items,22,0.392857,0.516582,0.015739
mutton (average quality),SPI Items,21,0.375,0.482143,0.00324
petrol super,SPI Items,20,0.357143,0.509306,0.021279
"long cloth 57"" gul ahmed/al karam",SPI Items,20,0.357143,0.502232,0.005804
salt powdered (national/shan) 80,SPI Items,20,0.357143,0.502232,0.010582
match box,SPI Items,20,0.357143,0.488658,0.005055
pulse masoor (washed),SPI Items,19,0.339286,0.509306,0.017235
gents sandal bata,SPI Items,19,0.339286,0.488658,0.002874
hi-speed diesel,SPI Items,19,0.339286,0.502232,0.014214
georgette (average quality),SPI Items,18,0.321429,0.482143,0.009012
sugar refined,SPI Items,18,0.321429,0.482143,0.008461
rice irri-6/9 (sindh/punjab),SPI Items,18,0.321429,0.488658,0.018947
chilies powder national 200 gm pa,SPI Items,17,0.303571,0.482143,0.010336
energy saver philips 14 watt,SPI Items,17,0.303571,0.452009,0.005893
gents sponge chappal bata,SPI Items,16,0.285714,0.452009,0.001931
ladies sandal bata,SPI Items,16,0.285714,0.452009,0.001931
wheat flour bag,SPI Items,15,0.267857,0.452009,0.005932
garlic (lehsun),SPI Items,15,0.267857,0.46962,0.028806
pulse moong (washed),SPI Items,13,0.232143,0.457731,0.025582
eggs hen (farm),SPI Items,13,0.232143,0.452009,0.009491
potatoes,SPI Items,11,0.196429,0.42542,0.003217
lpg 11.67 kg cylinder,SPI Items,8,0.142857,0.388825,0.00813
pulse gram,SPI Items,7,0.125,0.372791,0.013244
chicken farm broiler (live),SPI Items,6,0.107143,0.384688,0.0
electricity charges upto 50 units,SPI Items,6,0.107143,0.388825,0.0001
firewood whole,SPI Items,5,0.089286,0.384688,0.003892
bananas (kela) local,SPI Items,5,0.089286,0.368987,0.014542
cigarettes capstan 20's packet,SPI Items,4,0.071429,0.347699,0.0
mustard oil (average quality),SPI Items,4,0.071429,0.314441,0.002654
vegetable ghee dalda/habib or ot,SPI Items,3,0.053571,0.28699,0.00195
tomatoes,SPI Items,3,0.053571,0.358027,6.5e-05
onions,SPI Items,2,0.035714,0.301339,0.0
"cooking oil dalda or other similar brand (sn), 5 litre tin",SPI Items,0,0.0,0.0,0.0
cooking oil dalda or other similar,SPI Items,0,0.0,0.0,0.0
chilies powder national 200 gm packet,SPI Items,0,0.0,0.0,0.0
gas charges upto 3.3719 mmbtu,SPI Items,0,0.0,0.0,0.0
powdered milk nido 390 gm polybag,SPI Items,0,0.0,0.0,0.0
powdered milk nido 390 gm polyba,SPI Items,0,0.0,0.0,0.0
salt powdered (national/shan) 800 gm packet,SPI Items,0,0.0,0.0,0.0
rice basmati broken (average quality),SPI Items,0,0.0,0.0,0.0
vegetable ghee dalda/habib 2.5 k,SPI Items,0,0.0,0.0,0.0
vegetable ghee dalda/habib 2.5 kg tin,SPI Items,0,0.0,0.0,0.0
vegetable ghee dalda/habib or other superior quality 1 kg pouch,SPI Items,0,0.0,0.0,0.0
